,Unnamed: 0,review,rating,date,from_release,word2vec
0,0,이이경배우때문에 본영화..1편 2편 둘다 잼났어요~~,10,2025-01-23 17:19:32.735886,41,"[-1.1349637e-03  3.0510547e-03  1.7420450e-03  1.0519457e-03
  1.5061755e-03 -5.6878221e-03  1.6241685e-03  5.2464684e-03
  3.4635577e-05 -1.8535344e-03 -1.5755321e-03 -2.8330325e-03
 -6.6857762e-04  1.0145193e-03  1.2580807e-03  1.0402694e-03
  3.1771050e-03 -4.6636951e-03 -1.4840618e-03 -6.5258192e-03
  3.6305643e-03  4.1222461e-03 -1.4025279e-03 -1.3253980e-03
 -1.8308024e-03  1.6378275e-03 -3.6149574e-03 -3.7067814e-03
 -1.5176483e-03  2.1273131e-03  2.7320825e-03  5.3794106e-04
 -2.9155824e-04 -3.4126781e-03 -3.7678520e-03  5.1641697e-03
 -6.3327570e-05 -2.7887174e-03 -2.2506742e-03 -2.9030698e-03
  7.3969764e-05 -2.6663428e-03 -1.0203707e-04  2.1906355e-03
  3.1460011e-03 -3.0093611e-04 -3.3438939e-03 -1.9925605e-03
  2.8939419e-03  2.1247589e-03  3.5642702e-04 -1.6316541e-03
 -5.5760867e-04  4.7749563e-04  1.7093658e-03  2.5992952e-03
  2.5673611e-03 -5.7010946e-04 -1.1313192e-03 -7.8666949e-04
  2.7216342e-03  1.0693894e-03  3.0196204e-03  6.3076481e-04
  5.3332042e-04  2.5111076e-03  2.4027626e-05  4.5421780e-03
 -2.9442599e-03  9.8256383e-04 -4.4319633e-04  1.9140712e-03
  2.8692386e-03 -7.5037283e-06  2.9636016e-03  1.4109183e-03
 -1.0623221e-04  1.8573225e-03 -6.9430133e-04 -4.8987014e-04
 -1.8809416e-03  6.7849021e-04 -2.3230149e-03  4.7734100e-03
 -7.5094908e-04  8.9769048e-05  2.1511724e-03  3.1405732e-03
  3.3626142e-03 -1.9532512e-03  3.5473458e-03  2.9531349e-03
  3.9118351e-04  2.4113676e-03  2.4218755e-03  1.3783035e-03
  4.8599977e-04 -3.7929101e-03  1.5588907e-03  2.8571030e-03]"
2,2,잼있는시간 잘보고왔어요,5,2025-01-23 17:14:32.754052,41,"[-3.4428963e-03  1.6709625e-03  1.8155270e-03 -1.6856220e-03
  2.8797968e-03 -3.8434193e-04 -2.2520041e-03  7.3046023e-03
 -3.7139803e-03 -1.0987750e-03 -1.9154649e-03 -4.9304287e-03
  2.7215088e-04 -2.0849691e-03  2.3409668e-03 -3.1062693e-03
 -2.6980154e-03 -2.5786841e-03 -6.3289078e-03 -3.3804229e-03
  4.5626187e-03 -2.0092479e-03 -6.2448182e-03 -1.8121951e-03
 -3.7520966e-03 -3.0792444e-03  1.7868849e-03 -2.0095999e-03
 -4.5435210e-03  2.5253471e-03  2.6163650e-03 -1.9054385e-03
 -6.3874200e-04 -2.1454808e-03 -4.1902848e-03  6.0937433e-03
  6.9952442e-04  6.0295491e-03 -3.7612428e-04 -3.0704734e-03
 -1.2526782e-03 -3.8111834e-03 -4.0336512e-04  2.1756077e-03
 -1.2239023e-03 -1.9582450e-04 -3.6424026e-05  3.3202004e-03
 -2.6272098e-04  5.2197790e-03  6.0876696e-03 -9.0405382e-03
  1.9756225e-03 -3.9497563e-03 -2.3972825e-03  2.8204937e-03
 -1.4919440e-03 -2.5161381e-03 -4.7192252e-03 -3.7280372e-03
 -2.6700797e-03  8.2047591e-03 -5.9532549e-04 -7.2427085e-03
 -8.8280533e-05  3.4427969e-03  3.4502349e-03  3.4835930e-03
 -2.0575819e-03 -4.5100413e-04  1.4471085e-03  2.2944035e-03
  3.8161050e-03 -2.7238275e-04  5.6908829e-03  5.6144488e-03
 -6.8653090e-04  2.3801648e-04 -2.1703870e-03  2.3604014e-03
 -2.9598149e-03  1.1122192e-03 -5.9115994e-03  2.5174909e-03
 -2.3625293e-03  4.1747573e-03 -1.6284685e-03  2.6859134e-03
 -2.2562009e-03  3.9635678e-03  1.4196434e-03  5.6652976e-03
  8.6178049e-04  2.8552497e-03  7.9813655e-03  7.1444840e-04
  3.7918356e-04 -4.6616732e-03 -8.3786109e-04 -4.5714655e-04]"
3,3,넘재밋고웃겨용ㅎㅎㅎ,10,2025-01-23 17:12:32.762012,41,"[ 4.6212916e-04  3.0956964e-03 -1.1441989e-03 -3.1690963e-03
 -1.3449497e-03 -4.3684351e-03  3.9674854e-03  2.8053310e-03
 -3.8778961e-03 -1.3535214e-04  5.1506981e-04  2.1998968e-03
  1.5572752e-03  1.7452806e-03  1.2387738e-03 -2.5680109e-03
  1.6737476e-03  3.1481782e-04 -4.9995381e-04  1.6837849e-04
  1.3937776e-03  3.9265156e-04 -1.1113645e-03  3.0929870e-03
 -1.3615008e-03 -3.1715310e-03  2.0768547e-03  5.6674518e-05
 -2.8136349e-03  3.4581544e-04  1.8559054e-03 -4.9100053e-03
  2.8295338e-03 -1.7305117e-03 -2.9593711e-03  9.2374440e-03
  2.4438736e-03 -1.2253092e-03 -5.5190213e-03 -5.7932304e-04
 -2.8376633e-03 -9.5620786e-04 -3.9067836e-03 -1.2327224e-03
 -9.8498515e-04 -9.2772476e-04 -4.6884706e-03  7.7568664e-04
 -5.3401635e-04 -1.8989291e-03  8.9169329e-04 -8.3895279e-03
 -1.5645422e-03 -1.5907959e-04 -2.5642896e-03  7.5643294e-04
 -3.9543537e-03 -1.8676928e-05 -2.2202288e-03  1.0819584e-03
  4.0571219e-03  5.0225742e-03 -2.9500359e-04 -4.1078711e-05
  1.2862158e-03  3.5432770e-03  3.7784069e-03 -1.6670414e-04
 -7.1654133e-03  5.1278924e-03 -2.3880345e-03 -1.3021640e-03
  5.8782531e-04 -4.5038006e-04  1.8798209e-03  2.7795392e-03
 -1.5980536e-03  3.2885759e-03 -2.2995532e-03  1.4417896e-03
 -1.9510889e-03 -1.5508593e-03 -9.1294851e-03  8.1445174e-03
 -2.7524105e-03  3.4002080e-03  4.5629456e-03  5.8245356e-04
  4.7723246e-03 -4.3326872e-04  6.7927181e-03 -2.5082321e-03
 -5.1555997e-03 -1.4533855e-03  1.4082888e-03  2.8067251e-04
  5.9654615e-03 -3.9026632e-03 -1.1244798e-03 -4.9265879e-03]"
4,4,별로입니가 별로에요,1,2025-01-23 17:07:32.769734,41,"[ 3.7725787e-03 -2.1433295e-03 -2.4669473e-03 -7.4956508e-04
 -9.4205095e-04 -5.2091177e-03  4.3770857e-03  1.6623193e-03
 -5.7222326e-03  4.8363968e-03  6.5426569e-04 -3.3066226e-03
 -4.4158092e-03 -1.0099818e-03  1.4419155e-04  2.9901287e-03
  3.3560952e-03 -5.7233442e-03 -6.0021484e-06 -3.8009055e-03
  3.3140904e-04  2.5201284e-03 -1.4652578e-03 -3.3019967e-03
 -5.8555598e-03  7.2957361e-03  3.3186690e-03  3.4178252e-04
  3.0467841e-03 -9.8830846e-04  7.8191720e-03 -2.3141652e-03
 -3.7598470e-04 -3.8193897e-03  5.8044177e-03  2.9078070e-03
  4.0993225e-03 -2.3545411e-03 -2.8462759e-03 -3.2393220e-03
  6.6540521e-03 -2.7135271e-03 -2.7864012e-03  2.6783003e-03
 -2.5152773e-04  2.5487388e-03 -5.7672989e-03  1.8481789e-03
  3.6263659e-03 -2.4045426e-03  5.7133250e-03 -5.3506680e-03
  2.6795396e-03  4.4637620e-03 -4.4886507e-03  4.1446779e-03
  4.6316716e-03  6.3172891e-03 -6.3508153e-03 -1.9284181e-03
 -5.4418324e-03  1.6172510e-03 -3.6964512e-03  3.1518764e-03
 -1.3537577e-03  5.6973826e-03  1.4209367e-03 -1.4514202e-04
  9.5442968e-04  6.8769613e-03 -5.5648065e-03 -3.3475673e-03
 -2.5934551e-03 -1.6144232e-03  4.6709860e-03 -6.1951019e-03
 -7.6379313e-04  3.0616445e-03 -8.8169484e-04  5.6336401e-03
 -6.8429611e-03 -1.7820229e-03 -4.7258148e-03 -2.5760342e-04
 -5.5675628e-03  1.2038734e-03 -5.2213861e-04  7.9794135e-03
  2.4540944e-03  7.7469847e-03 -1.8819667e-03  4.4247066e-03
 -2.5981432e-03 -8.6507457e-04 -1.3107690e-03 -7.1164011e-04
  1.6953114e-03 -4.4299238e-03  6.1063105e-03  3.6739947e-03]"
5,5,명절에 가족과 보기  추천해요♡ 웃을 일 없는요즘 딱입니다,10,2025-01-23 17:05:32.777198,41,"[-1.2746130e-04  1.4325244e-03  2.8011040e-04 -6.4542383e-04
  3.8102812e-03 -1.9472633e-03  4.1624033e-04  6.1532701e-03
 -6.9093904e-03 -2.0556673e-03 -2.1424021e-03 -8.5411547e-04
 -3.1578268e-03  2.1909631e-03  7.6042529e-04 -2.1054309e-03
 -1.1617005e-03 -1.7317302e-03  4.6035525e-04 -5.8628349e-03
  4.3278309e-03  7.7982340e-04  3.1281020e-03 -3.3823075e-04
 -2.1782033e-03 -1.9611677e-04 -2.1788531e-03 -1.9627002e-03
 -3.8624369e-03 -6.1666180e-04  3.6857505e-03  2.4208806e-03
  2.0153800e-03 -4.6839877e-03  2.4893396e-03  1.8539104e-03
 -8.0852740e-04  1.5780826e-04 -9.8102761e-04 -5.7232706e-03
 -4.1695670e-04 -2.1948765e-03 -4.5669801e-03  8.0702762e-04
  4.5251199e-03 -2.2688798e-04  2.7378145e-04  1.2273592e-03
  4.5881765e-03  1.6404683e-03  9.0207550e-04 -1.6163598e-03
  8.8543881e-04  3.5691308e-04  1.6040306e-03  6.6385063e-04
  1.4180558e-04 -1.3396256e-03 -2.3908003e-03 -1.0373460e-03
  1.1975572e-03  3.7794779e-03 -2.7621908e-03 -9.5911557e-05
 -6.9487686e-03  2.9927338e-03  7.3140871e-04  1.4753909e-03
 -2.9131162e-03  2.9443167e-03 -1.5293815e-03 -1.4919017e-03
  2.5684950e-03 -2.2532977e-03  1.3757873e-03 -1.2554688e-03
  3.5025438e-04 -5.1608455e-04  7.8775745e-04  1.8387303e-03
 -2.7598958e-03 -4.4469904e-05 -4.8424038e-03  4.2482032e-03
 -4.7804262e-03 -2.7139473e-03 -8.1525650e-04  2.8301552e-03
  1.0634477e-03  2.8839957e-03  4.7226576e-03 -2.0397890e-03
  1.4625631e-03  3.0685420e-04  2.6747498e-03  1.3543621e-03
 -1.0927356e-03 -1.6851524e-03 -1.1561530e-03  1.5960142e-05]"
6,6,코미디 영화로서는 나쁘지 않딘,8,2025-01-23 17:05:32.784601,41,"[ 5.1644165e-04  1.2757754e-03  5.3536156e-03  3.1698712e-03
  2.1268737e-03 -4.7016013e-04 -8.1331658e-05 -1.3454929e-04
  4.3460616e-04  6.8990355e-03 -6.2329782e-04 -1.5075061e-03
 -4.3417136e-03  2.6743240e-03  4.6806573e-03 -3.3095523e-03
  1.1869617e-03 -3.4501266e-03  3.1895959e-03  3.2825474e-04
 -2.3029486e-03  4.3710866e-03 -1.5046734e-03 -7.0456654e-04
  3.0521338e-03 -4.4790534e-03  1.3351293e-03 -2.6012876e-03
 -1.1080113e-03 -1.9514874e-03 -4.5754883e-04  1.1242686e-03
  1.6815545e-03 -1.6356675e-03  2.7047545e-03  6.7811189e-03
 -1.7521972e-03 -1.6787143e-03 -3.2711129e-03  1.4604524e-03
 -1.4676701e-03 -2.6980124e-03 -4.5556139e-04  4.7883289e-03
 -1.9433517e-03  2.0111063e-03 -3.5415993e-03 -7.7618175e-04
 -3.3329727e-04 -4.0230452e-04  6.2566884e-03 -1.0482006e-03
 -2.3498454e-03  3.9785476e-03 -1.8192710e-03 -2.8741511e-03
  4.5933123e-03  1.4410906e-03 -4.4400953e-03  6.4594669e-06
 -2.9118520e-03  5.9834979e-03  9.1358228e-04 -3.4467112e-03
 -4.7580176e-03 -1.2835343e-03 -7.1811146e-04  4.4134218e-04
 -4.6747099e-03 -1.0548423e-03 -3.5388940e-03 -4.1723525e-04
  3.2226503e-04  2.6645127e-03 -4.3003773e-04  2.1599417e-03
  2.6627569e-03 -3.2342896e-03 -1.0179773e-03  2.6860614e-03
  4.2331015e-04  8.5566175e-04  1.0547668e-03 -4.6002613e-03
  1.4648580e-03  1.8075572e-03 -2.0752503e-03  1.5835229e-03
  5.9445716e-05 -1.5725261e-03  4.0166368e-04  3.2106549e-03
 -3.8068424e-04  2.7742933e-03  2.2089859e-03  4.3239654e-03
 -2.2311047e-04  3.3155202e-03 -2.6616440e-03 -4.2297207e-03]"
7,7,히트맨2  실관람평입니다,8,2025-01-23 17:04:32.791916,41,"[-0.001352   -0.00090248  0.00132053 -0.00320278 -0.00257501 -0.00604905
 -0.00253897  0.00260033 -0.00483167 -0.00357725 -0.00259005 -0.00463532
  0.00082086 -0.00082194  0.00288912  0.0017498   0.0048549  -0.00475743
  0.00112362 -0.00949546  0.00100327  0.00114327  0.00263523 -0.00188343
 -0.00347984  0.0046544  -0.00468672 -0.00151889  0.00105533  0.00066891
  0.00225849  0.00477477  0.00101713 -0.00422813 -0.00018637  0.00240105
  0.0015329  -0.00081354 -0.0035425  -0.00035726  0.00095906 -0.0029246
  0.0002464   0.00398154  0.00247187 -0.00486548 -0.00705362 -0.00026071
  0.00089048 -0.00079264  0.00091937 -0.0013304   0.00153721  0.00100646
 -0.0036981   0.00240803  0.0019136   0.00044556  0.00261607  0.00450315
 -0.00026971 -0.00331869  0.00094601  0.00520177  0.00082432  0.00358543
  0.00064627  0.00221161 -0.0005809   0.00136935 -0.00201273  0.00208304
 -0.00060994 -0.00096133  0.0036197   0.00253818  0.00179271  0.00041231
 -0.00204259 -0.00016551 -0.00307837 -0.00144511 -0.00229481  0.00744892
 -0.00192847  0.0034549   0.00060197  0.00928805  0.00407448  0.00147987
  0.00644783  0.00178747 -0.00283018  0.00179499 -0.00170347  0.00300778
  0.00445606 -0.00456844 -0.00028646  0.00086904]"
8,8,재밌어요. 근데1이 더 재밌어요,8,2025-01-23 17:02:32.799167,41,"[-2.1302581e-03  2.9651762e-03 -3.1260408e-03  8.7531767e-04
  3.2646996e-03 -5.1727626e-03  1.9463114e-03  1.0523953e-02
 -5.2776881e-03 -1.6582345e-04 -2.4808906e-03 -6.8845130e-03
 -9.1947679e-04  5.6464202e-03  4.3781195e-04  1.7926736e-04
  3.6249135e-03 -1.5051218e-03 -2.8515472e-03 -1.0029489e-02
  9.2427398e-04  1.2617643e-03  3.6347674e-03 -3.7931863e-03
  1.2744175e-03  5.9516990e-04 -9.1605511e-04 -1.4531263e-04
 -3.7984566e-03  1.4112277e-03  1.0887501e-02  9.2681433e-04
 -2.5376579e-04 -2.5172720e-03 -6.9992342e-03  2.9731418e-03
  1.8835700e-03 -1.1431082e-03  8.3690381e-04 -6.5241298e-03
  2.8402682e-03 -2.5209293e-03 -3.0012322e-03  1.4912838e-03
  3.1688963e-03  3.1723653e-03 -5.0447270e-04 -3.1825437e-03
  8.9508708e-04  1.1913328e-03  1.4434984e-03 -2.4944767e-03
 -2.3528694e-03 -1.9814153e-03 -5.2246391e-03 -3.9090714e-03
  1.0291169e-03 -3.5123697e-03 -7.0097111e-03 -4.2337859e-05
  1.6316696e-03  2.7663787e-03  2.7414684e-03 -2.2567904e-03
 -4.1100397e-03  5.7649924e-03  4.4293082e-03  3.6528888e-03
 -5.7444945e-03  4.1580005e-03 -2.1674349e-03  3.7492223e-03
  3.0668655e-03  1.5211971e-04  4.6233847e-03 -6.8507541e-04
  3.1071438e-03  1.6210380e-03 -1.4068607e-03  1.4704893e-03
 -1.9537443e-03 -4.8452807e-03 -6.1020432e-03  5.7531544e-03
 -1.4225373e-03 -5.8998927e-03  1.3641081e-03 -5.1207648e-04
  5.7253083e-03  9.5403235e-04  8.9007884e-04  4.2528808e-03
  4.2652930e-03 -2.1972186e-03  8.8614020e-03  5.2818293e-03
  3.1171148e-03 -2.8274299e-03  1.5320616e-03  2.9493935e-04]"
9,9,재밌게 봤어요! 배우들의 액션연기 굿! ,10,2025-01-23 16:58:32.806470,41,"[-0.00054295  0.00255441  0.00201046  0.00081324 -0.00286513 -0.00525996
  0.00025106  0.00848536 -0.00162234 -0.00162921 -0.00178692 -0.00495693
  0.00105645  0.00388865 -0.00152486 -0.00311582  0.00160893  0.00021389
 -0.00179301 -0.00785378  0.00375486  0.00148828 -0.00238135  0.00015433
 -0.00063605  0.00094006 -0.00121825 -0.00269052 -0.0010836   0.00205907
  0.00149072  0.00131175  0.00313578 -0.00646725 -0.00285575  0.0039754
  0.00166594 -0.00534435 -0.00116749 -0.00505436  0.00182011 -0.00198519
  0.00055172 -0.0030357   0.00068339 -0.0010547  -0.00115263 -0.00178176
  0.00187686  0.00072052  0.00097305 -0.00320434 -0.00345729 -0.00043567
 -0.0003797  -0.00140038  0.00258952 -0.00408159 -0.00530603 -0.00119091
  0.00095287 -0.00075875 -0.00118051 -0.00011092 -0.00343     0.00696786
  0.00290758  0.0027376  -0.00678598  0.00417433 -0.00036107  0.00108271
  0.00282585 -0.00441409  0.00336567  0.0036359  -0.00067838  0.00251646
 -0.00296707  0.00519788 -0.00232469 -0.00118954 -0.00205114  0.00647571
 -0.00158477  0.00064976  0.00241169  0.00414487  0.00422572  0.00518123
  0.00346993  0.00057735  0.00278101 -0.00224767  0.00495437  0.0029614
 -0.00239681 -0.00054232  0.0010022   0.00251188]"
10,10,재밋엇어요감사합니당ㅋㅋ,10,2025-01-23 16:53:34.909801,41,"[-1.6025687e-03 -1.0352636e-03  1.5452807e-04  2.0224375e-03
 -1.2788902e-03 -9.1125636e-04  3.1672288e-03  3.3947162e-03
 -4.5171832e-03 -1.6274458e-03 -1.5904378e-03  2.6268170e-03
  2.4641390e-04  4.7203042e-03 -1.8255621e-03  1.6544334e-03
  4.7906572e-03 -1.4229490e-03 -3.3280069e-03  2.9601583e-03
 -7.5434730e-04  5.1606802e-04  3.1743124e-03  2.2816269e-04
  7.1143830e-04 -4.8470772e-03  4.6160808e-06 -3.3377334e-03
 -3.2128096e-03 -2.1719432e-03  2.6089761e-03  1.4047244e-03
  4.8917602e-04 -2.4743790e-03 -8.2725676e-04  2.3540612e-03
  1.2465412e-03 -3.2179274e-03  5.4858188e-04 -1.8658171e-03
 -1.8839665e-03 -4.0988289e-03 -4.9667823e-04  2.2382324e-03
  3.4675580e-03 -3.1212468e-03 -4.9058176e-03  3.5779926e-03
 -5.1819361e-03  2.5634102e-03  7.1200775e-04 -2.4727203e-03
 -3.3022056e-03 -2.5942835e-03 -8.2755316e-04  9.5582241e-04
  5.6494144e-05  1.1535001e-03 -3.5600315e-03 -7.1537314e-04
 -3.5984963e-03 -1.1354205e-03  1.5356838e-03  3.3846684e-03
 -1.3842136e-03 -2.4155006e-03  3.7192416e-03  3.2054174e-03
  1.3426024e-03  3.8478996e-03  3.2943769e-04  6.5574422e-05
 -4.6876180e-06  3.6894779e-03  1.7524950e-03  1.0217308e-03
  1.0243136e-03 -4.1968864e-04  4.3601650e-03  1.8189360e-03
  1.9824852e-03 -4.1240277e-03  4.0730662e-04  3.9916835e-03
 -2.9443088e-04  1.1092129e-03 -2.9899841e-03 -8.4134500e-04
  4.0426948e-03 -9.8794838e-04  2.2508651e-03  3.5350260e-03
  2.0961289e-03 -1.6370397e-04 -3.3099123e-04  7.6279481e-04
 -2.1590991e-03 -6.5678927e-05  3.5036535e-03 -7.1451394e-04]"
