,영화 제목,review,rating,date,from_release,word2vec
0,히트맨2,평점 알바들 대단하십니다,2,2025.01.22. 19:52,20,"[-3.1010734e-03  9.4514317e-04 -1.9355594e-03  4.8538707e-03
  2.6138695e-03  8.8232930e-04 -5.4906297e-04  2.8912823e-03
 -2.7311577e-03 -3.7464339e-03  1.7591016e-03 -7.5390388e-04
  4.5956131e-03 -2.6205189e-03  9.8036730e-04  2.6876542e-03
 -4.6415571e-03  1.9250927e-04  3.4379307e-05 -4.9628438e-03
  4.2952382e-04  2.5617799e-03  1.4323224e-03 -8.7452820e-05
  1.7407259e-03 -2.3342061e-03 -1.6421115e-03  3.5119438e-04
 -6.3466240e-04 -3.2650856e-03  2.8504084e-03  1.2445383e-03
  2.7594683e-03  2.0660844e-03 -6.6461827e-04  3.8998281e-03
 -2.9486660e-03 -1.5167084e-03 -1.0448952e-03  6.3005509e-04
 -1.2996786e-03 -1.3722670e-03  3.1176624e-03 -3.4707822e-03
  1.2300233e-04 -2.6890200e-03  1.9556512e-03  3.2248273e-03
 -5.6019160e-03  8.3701580e-04  9.6759899e-04 -2.0834259e-03
  2.4492352e-03 -1.8853087e-03  1.7282768e-03 -5.3274434e-04
 -3.4701964e-04 -3.6034822e-03 -1.3378196e-03 -2.8881324e-03
 -4.0616258e-05 -6.1458591e-03  1.1990493e-03  1.2329076e-03
 -5.1189354e-03  2.2782658e-03  1.8040275e-03 -1.2950884e-04
 -3.5776442e-03 -1.9134948e-03 -4.1357656e-03  2.0465432e-03
  3.5806389e-03  2.1471679e-03 -4.3219365e-03  1.6628063e-03
  1.1549012e-03  1.9366440e-03 -4.4658501e-03  2.1985718e-03
  1.4166953e-04 -3.6548099e-03 -7.1697473e-04  8.8647753e-04
 -1.1981493e-03  3.2620090e-03 -2.0105995e-03 -3.5698074e-03
 -2.0443725e-03 -1.7443891e-03 -3.2231985e-03  2.0236119e-03
  2.6731950e-03  2.8996903e-04  7.7836472e-03 -1.3383297e-03
  1.4762878e-03  2.7286385e-03  3.9295368e-03 -5.5877441e-03]"
2,히트맨2,이이경이랑 김성오 레전드.,10,2025.01.22. 11:28,11,"[-2.1569356e-03 -8.8518934e-04  1.5470424e-03  3.0301637e-03
 -2.7296814e-04 -3.7155002e-03 -1.5025802e-03  5.1739095e-03
  1.0607300e-03 -1.2924391e-03  2.1808129e-04 -2.6573662e-03
  3.1932592e-03  2.2823650e-03  4.9352767e-03 -9.3764765e-04
  1.0781761e-03 -2.0586387e-03 -1.4171749e-05  1.4241943e-04
  2.8243598e-03  5.5882381e-03  7.6671300e-04  6.9418771e-04
 -1.5961211e-03 -1.0706501e-03  4.7431863e-03 -3.0818913e-04
 -1.3461483e-04  1.2870927e-04  5.1876705e-04 -1.6013482e-04
 -1.1753431e-03 -9.7587367e-04 -3.3744783e-03  3.9036446e-03
  2.3949700e-03 -3.6872707e-03 -3.8025125e-03 -2.8173611e-03
  3.9847628e-03 -3.1364628e-03  2.0086307e-03  2.5537750e-04
  4.8028389e-03 -1.8340676e-05  1.4024688e-03 -9.5846894e-04
  1.2373915e-03 -1.7787028e-03  1.4441611e-03  1.4746577e-03
 -2.4362649e-03 -4.6872348e-03  2.6698052e-03 -1.0592330e-03
  4.9573295e-03  4.8882916e-04  1.0991050e-04 -3.4153897e-03
  7.8463013e-04  1.0317175e-03 -1.9941106e-04  6.0633110e-04
 -1.8468261e-03  2.2527173e-03  5.2536885e-05  4.7220439e-03
 -2.4550671e-03  1.0415155e-03  2.6167538e-03 -2.6187671e-03
 -2.0759655e-03  1.5539844e-03  6.2304363e-03  3.6374861e-04
 -3.6788261e-03  3.9339201e-03 -4.6253870e-03 -1.8662075e-05
  1.0795957e-04  3.7113721e-03 -4.0297033e-03  5.6020473e-03
  3.6775738e-03 -1.2555767e-03  3.7795268e-03  3.4627002e-03
  8.2814571e-04 -2.4379555e-03  1.4081717e-03 -9.8350982e-05
 -1.0784946e-03 -5.3322449e-04  1.4590262e-03  2.0770873e-03
 -1.1353634e-03 -3.2609510e-03 -3.1611189e-04  1.4966954e-03]"
4,히트맨2,영화보면서 한 번도 안 웃은 적 처음이예요…,1,2025.01.22. 21:17,21,"[ 1.7901674e-03  1.2423028e-04  8.5599854e-04  2.7386585e-04
  4.0696116e-04 -3.4959659e-03  1.5238822e-03  3.3634247e-03
 -3.2287603e-03 -1.4516981e-03  1.4448439e-03 -4.0011876e-04
 -2.0584345e-03  8.7504042e-04  2.2371458e-04 -8.5557642e-04
  7.1737700e-04 -7.0054614e-04 -1.0632967e-03 -6.8655782e-03
  1.4939546e-03 -6.0166093e-04  9.6771400e-04 -2.1262644e-03
 -4.3460557e-05 -2.9913448e-03 -8.3762576e-04 -2.1033075e-03
 -4.8767441e-04  3.9665858e-04 -6.2669227e-05 -2.8646001e-04
 -1.0099100e-03 -3.3068638e-03  3.3343583e-04 -1.0963817e-03
 -1.4986210e-04 -9.8948984e-04  1.1855470e-03 -2.4224422e-03
 -2.3736289e-05 -4.1122078e-03  3.4033719e-03  2.3863127e-03
  2.7258582e-03 -1.8831774e-03 -1.7497144e-03 -1.1848384e-03
  3.0567988e-03  2.3838815e-03  2.3673694e-03  8.1437762e-04
 -3.9106354e-04 -1.4164005e-03 -1.7553112e-03 -1.1280213e-03
  3.8165993e-03 -2.3610466e-04 -1.6418224e-03 -3.4361705e-04
  8.3568454e-04 -3.3183256e-04  6.4976164e-05  6.8201585e-04
 -2.1135546e-03  4.5262105e-03 -2.5581126e-04  2.0337251e-03
 -1.2726161e-03  1.9600384e-03  1.3838230e-04 -6.1983237e-04
  1.9786435e-03  1.5331772e-03  4.6592369e-03  1.0681021e-03
  2.9338298e-03  2.3826463e-03 -6.8972475e-04  1.7905611e-03
  1.0370512e-03  2.4464159e-04 -2.5212069e-03  3.5871442e-03
  2.2098480e-04  7.9415023e-04  1.5954691e-03  2.1761234e-03
  1.5555952e-03  1.2884941e-03  1.2444820e-03 -1.6238494e-04
  5.1911519e-04  1.7309347e-03  4.4804947e-03  2.7844093e-03
  1.1587360e-05 -4.2147604e-03  5.9304904e-04 -8.7590422e-04]"
6,히트맨2,생각보다 별로였습니다..,1,2025.01.22. 19:02,19,"[-8.1033149e-04 -2.0227854e-03  2.5382128e-03  2.1986223e-03
 -3.4105494e-03 -6.5561570e-03  1.0520278e-03  2.9229196e-03
  4.7834855e-04 -1.5193362e-03  1.0680848e-03 -4.3608337e-03
 -2.1683490e-03  2.9702182e-03  8.6266844e-04 -4.1261781e-05
 -3.0744127e-03 -5.1650283e-04  1.5602710e-03 -1.8690001e-03
  4.1425144e-03  1.8834614e-03 -1.5700527e-03 -1.7648626e-03
 -8.9390205e-06  2.5610029e-04 -3.8867681e-03  4.5102676e-03
 -3.2589384e-03 -1.2406200e-03  1.1115008e-03 -1.3727214e-03
  2.5929890e-03  7.2737871e-04 -3.8632751e-03  3.9165239e-03
  4.6227542e-03 -6.4074821e-03 -5.6785978e-03  6.7869585e-04
 -1.6921051e-03 -1.4787591e-03 -3.0251979e-03  8.6188113e-04
  4.4684950e-03  4.2645587e-04 -6.0020275e-03  9.2268550e-05
  1.4438357e-03 -2.9115002e-03 -1.8479258e-03  3.9126556e-03
  5.4621426e-03 -1.5590211e-03 -1.1557211e-03  1.2564104e-03
  2.6065130e-03  2.2942838e-04  5.1563558e-05  5.7541118e-03
  8.3271228e-04  3.3115799e-04 -1.3095422e-03 -2.0358940e-03
  8.8159635e-04 -5.6198164e-04  5.4344576e-04  3.2667294e-03
  2.6010070e-04  2.1840075e-03 -3.2187104e-03  2.7973861e-03
 -3.4150024e-04 -1.5834285e-03  3.7995726e-03  1.2813171e-03
  2.9839927e-03 -1.6397989e-03 -1.1540288e-03 -4.5495582e-04
 -2.4313119e-03  5.3363515e-04 -1.3499643e-03  2.9467612e-03
 -6.9300137e-03  3.0518929e-03 -1.3920446e-03 -4.2030932e-03
  1.8488558e-03  2.2805906e-03  4.7879675e-03  1.5803210e-03
 -4.0434380e-03 -5.7949563e-03  3.4821667e-03  2.5398533e-03
 -2.0603798e-03 -1.2207802e-03  2.4726305e-03  1.6097067e-03]"
7,히트맨2,만들지 말아야 할것이 또 나왔다,1,2025.01.22. 21:51,22,"[ 5.9864582e-03  1.1214893e-03 -2.0250797e-03 -2.6430437e-04
 -1.9673207e-03  7.7948580e-04 -3.3266135e-03  2.3728996e-03
  3.8487825e-03 -8.2526513e-04  1.7453514e-03 -1.6416960e-03
 -3.7464467e-03  3.8594548e-03 -6.0907975e-03  7.9554471e-04
  6.5346980e-03  1.4851864e-03 -1.9497089e-03 -4.0871697e-03
  1.9621348e-03  1.7847440e-03 -4.3340569e-04 -2.5323164e-03
 -8.9176669e-04  3.4403678e-03 -2.7490810e-03 -3.2006491e-03
  2.9093258e-03  2.7499535e-05  4.7970907e-04  6.1987126e-03
 -3.2766885e-03 -3.9265971e-03 -2.1740471e-03  3.8677349e-03
 -3.7296552e-03 -5.4591661e-03 -1.2962937e-03 -1.0120621e-03
  4.3783820e-04 -1.5589048e-03  2.8130375e-03 -5.2603753e-03
  2.8641070e-03 -7.1183639e-04  1.6238610e-04 -6.1824508e-03
 -3.4564845e-03 -5.4309098e-03 -2.8801779e-03 -1.8752363e-03
 -1.3675704e-03  4.3268134e-03 -2.1169980e-03 -1.5319190e-03
 -4.9213930e-03 -4.5978376e-03 -7.1191578e-03 -2.5694324e-03
  1.0166161e-03 -2.5384617e-03  3.4090127e-03 -3.2998980e-03
  2.6819049e-03  4.6600932e-03  4.4409307e-03 -4.6653618e-04
 -3.6237258e-04 -1.5381171e-03 -2.0186075e-03  2.8672032e-03
 -4.4420622e-03 -6.0686679e-04  4.3452219e-03 -3.2579817e-03
 -2.9811785e-03  2.0011978e-03 -2.9727023e-03 -3.7234182e-05
  4.6158088e-03  1.7093669e-03 -1.1794640e-03  2.7617079e-03
 -3.7021614e-03 -2.9230721e-03  2.7031349e-03  3.3118359e-03
  1.2161613e-03 -2.2299963e-03  9.9529349e-04 -3.4345284e-03
 -1.0125417e-03  4.9475162e-05  2.3908457e-03  1.9263953e-03
  1.0604610e-03  3.4754581e-03  1.0647075e-03  3.0713049e-03]"
9,히트맨2,권상우의 코믹연기는 진짜 봐도봐도 질리지 않음정준호랑 이이경까지 라인업 튼튼하니 명절에 가족들이랑 보기 좋음,10,2025.01.22. 10:53,11,"[ 2.4945996e-04 -7.6595292e-04 -2.6148386e-04  2.0324097e-03
 -1.4713872e-03 -5.6040422e-03  2.8905608e-03  3.7974168e-03
 -4.3870206e-04 -2.6127102e-03 -9.7772793e-04 -2.9698128e-03
  6.2890467e-04  9.4399630e-04  1.4038953e-03 -1.5495847e-04
 -2.9508288e-03 -1.2721751e-03 -5.4132007e-04 -3.7480656e-03
  6.1918789e-04  2.8873275e-03  2.1811603e-03  6.6189608e-04
  2.7849301e-05 -1.0149293e-03 -1.6242823e-03 -9.0537936e-04
 -1.4782319e-03  3.8011107e-04  3.1566930e-03  1.1064011e-04
  2.1754745e-03 -1.0607770e-03 -2.1706347e-03  2.4687969e-03
 -9.2268157e-05 -8.0875051e-04 -4.2861421e-04 -3.0321078e-03
  1.0896241e-03 -2.4867046e-03 -2.6518966e-03 -4.9689546e-04
  2.9698138e-03 -2.8893174e-04 -2.1625170e-03 -1.8733641e-05
  2.1375772e-03  2.4454415e-04  7.8444509e-04 -9.8674973e-05
  2.2249462e-03 -5.7294883e-04  4.4999513e-04  1.2883024e-03
  7.9434336e-04 -1.5412780e-03  1.0315290e-04  7.4196095e-04
  3.8310909e-04  2.8513132e-03 -1.3943792e-04 -1.3743782e-03
 -1.9381781e-03  3.5534597e-03 -4.3794155e-04  2.7667684e-03
 -3.3656983e-03  1.7934734e-03 -5.6555960e-04  1.5100135e-03
  3.2622358e-03  6.8849261e-04  1.5420668e-03  1.9096355e-03
  6.7207497e-05 -1.5767765e-03 -1.7956905e-03 -1.2554000e-03
  3.4582452e-04 -3.2330539e-05 -2.3307109e-03  1.4234512e-03
 -3.9327380e-04  8.7456102e-04  2.1357613e-03  4.8367717e-04
  2.7230920e-03  6.5351208e-04  2.7589633e-03 -4.1140220e-04
  5.2150182e-05  1.6732314e-03  2.0710242e-03  4.1350108e-03
 -1.1937264e-04 -2.1286362e-03  1.3711266e-03 -3.1546396e-04]"
10,히트맨2,어수선한 시국에 잠시라도 시원하게 웃게해주는 영화였읍니다. 3탄이 너무기대됩니다.,10,2025.01.22. 11:37,12,"[-8.1763684e-04  1.2554388e-03 -3.2326239e-04 -2.3626492e-03
  4.4808089e-04 -2.5635667e-03  1.5885885e-04  3.7145114e-03
  1.9329749e-03 -6.0757578e-05  1.8079721e-04 -1.9421319e-03
 -1.3153867e-03 -2.2147391e-03  2.4477537e-03  3.2464974e-04
  5.4908067e-04 -1.9579476e-03 -2.0540548e-03 -2.5487971e-03
  1.6588210e-03  7.5849582e-04  2.6446171e-03  4.8370235e-05
 -5.7351281e-04  1.2926700e-03  1.0564604e-04  1.6368317e-03
 -1.3870259e-03 -2.8841007e-03  7.6978095e-04  3.1321385e-04
  6.5455504e-04 -1.6459066e-04 -1.6413523e-03  2.3655440e-03
 -3.4844250e-04 -1.9171424e-03 -2.7259400e-03 -9.4352057e-04
  1.4831355e-03 -1.4130069e-03 -2.5759644e-03 -8.5527555e-04
  4.2832494e-03 -8.9139049e-04 -1.2036033e-03 -2.3299924e-03
 -4.5037814e-04  1.3402774e-03  1.6590502e-03 -2.4740901e-03
 -5.2360108e-04  1.1375932e-03 -3.3504921e-03 -1.1734201e-03
  1.6774917e-03  4.9045309e-05 -1.0518229e-03 -6.8720139e-04
  9.4343489e-04 -4.4500432e-04  1.8633576e-03 -1.3264525e-03
 -1.5314271e-04  2.4442268e-03  5.3650269e-04  2.6349579e-03
 -2.0935563e-03 -2.5161231e-05 -6.3768507e-04 -8.7209285e-04
  3.2526960e-03  1.5008592e-03 -1.7378706e-03 -7.3702738e-04
 -5.9729337e-04 -8.2597406e-05 -2.4186533e-03  6.9520593e-04
  9.2937308e-04  1.3504646e-04 -2.7190475e-03  8.2737615e-04
 -1.3970942e-04  1.2901595e-03  2.9690671e-04  1.5413727e-03
  1.0983058e-03  5.6327276e-06  7.8308549e-05  2.3585579e-03
 -1.9736411e-03 -9.7720232e-04  3.8991983e-03  1.7469729e-03
  1.0395461e-03 -2.0371170e-03  1.8434572e-03 -4.3777563e-04]"
11,히트맨2,정도껏 유치해야지 바보들의 행진,4,2025.01.22. 17:34,18,"[-2.6305667e-03  3.9931559e-03 -1.4363935e-04  1.6531564e-03
 -2.5715919e-03  5.1556341e-04 -1.1338948e-03  4.5344979e-03
  1.2578776e-03 -2.4604793e-03  1.3778188e-03  2.9265831e-04
  1.6978054e-03  5.2339496e-05 -1.5642624e-03  5.9680466e-04
 -7.5507152e-04 -3.2241011e-04  7.4348465e-04 -8.2370237e-04
  4.2131517e-04  3.6819307e-05  1.8661730e-03 -2.4866073e-03
 -1.8006797e-03 -2.6291390e-03  1.9576673e-03 -4.7122650e-03
  2.4207565e-03 -1.0051517e-03  4.9961640e-05 -3.8355652e-03
  4.0292540e-05  1.7270047e-03 -8.8423619e-04  4.6792938e-03
 -8.2766445e-04  5.6428567e-04  3.1477399e-03 -4.6337172e-04
  3.8536498e-04  3.2927692e-03 -3.2933864e-03 -3.3605355e-03
  2.9100019e-03 -7.7766582e-04  3.2362773e-03 -8.3450746e-04
  1.1209080e-03 -8.5833017e-04  1.6231585e-03  1.8949333e-03
  1.7922396e-03  5.0484686e-04  4.3400498e-05  2.4578471e-03
  2.2971968e-03 -3.8050634e-03  3.2878665e-03 -1.6081550e-03
 -1.6650233e-03  3.1947007e-03 -4.6253004e-04 -1.1656182e-03
 -5.5128062e-04 -1.6100414e-03 -2.9031320e-03  2.2200309e-03
 -3.0716099e-03  4.0498478e-03 -3.6989672e-03  2.6449142e-04
 -1.6343112e-03  1.4181490e-03  3.9425925e-03 -5.9472542e-04
 -5.8318506e-05 -3.6016430e-04 -3.5157360e-03 -4.6103442e-04
  1.4765887e-04 -1.1830330e-03 -7.4628025e-04  3.7048219e-03
 -3.5039734e-04 -5.3522182e-03 -3.6731889e-03 -2.2551469e-03
  2.1570283e-03  1.3886673e-03  1.6990966e-03  3.0886116e-05
  5.0795905e-04  2.2479538e-03  4.0242621e-03 -5.8494054e-04
  1.0941821e-03 -1.2336791e-03 -6.0004182e-04 -6.3517931e-05]"
15,히트맨2,진짜 쉽지 않은 관람 이었다,5,2025.01.23. 08:45,33,"[ 1.43189495e-03  9.57340351e-04 -6.13567390e-05 -1.24432554e-03
 -3.56097030e-03 -5.05655259e-03  2.10469728e-03  3.09259910e-03
 -6.81766588e-03 -1.10416545e-03 -1.33555953e-03 -1.77617278e-03
 -2.89389142e-03 -1.86073745e-03 -3.50718212e-04 -1.86515856e-03
 -7.34307920e-04  3.63257458e-03 -1.10008987e-04  1.13765965e-03
 -6.31750852e-04  1.74762902e-03  3.14966263e-03  3.89518333e-03
 -2.77942000e-03  1.20511441e-03  1.41838449e-03 -9.77743650e-04
  3.27381073e-03 -1.68409047e-03  6.27460075e-04 -1.78298412e-03
  1.63456798e-03  8.43875459e-04 -3.93995177e-03  6.04020664e-03
  3.74298915e-03 -1.57075934e-03  1.68403634e-03 -2.61390884e-03
  2.40013748e-03 -3.17618018e-03 -2.54663383e-03 -1.79833733e-03
  2.10196624e-04  4.77680797e-03 -4.31406591e-03 -1.21275347e-03
 -2.04525539e-03 -4.57895407e-03 -3.32731800e-03  1.54802320e-03
  3.44637269e-03 -2.35844543e-03 -3.07479734e-03  1.45036180e-03
 -1.49698404e-03 -3.41752020e-04  3.05756927e-04 -7.05368468e-04
 -1.73774868e-04 -1.30756316e-03 -2.05865921e-03 -8.05774354e-04
  4.68346337e-03  1.15606374e-04  1.15249961e-04  9.65551124e-04
  6.96452160e-04  2.26097996e-03 -1.83077564e-03 -7.61140021e-04
 -6.29068381e-05  3.80819023e-04  3.48660722e-03  5.37349237e-03
 -3.26341693e-03 -5.51508856e-04  3.50392680e-03 -1.67808798e-03
  1.91720133e-03 -2.68863351e-03 -1.49038155e-04  4.36540926e-03
 -1.98441138e-03  5.90708246e-03 -1.62469898e-03 -1.56852300e-03
  3.39947641e-03  2.12420011e-03  2.10630405e-03 -2.09628051e-04
  1.15635994e-04 -5.28788799e-03 -2.42683431e-03  3.78389400e-03
  4.37074050e-04 -7.75302935e-04  2.97254650e-03 -1.65374798e-03]"
16,히트맨2,아놔 진짜 최악이다 아직도 한국에 이런 영화가 나어다니….,1,2025.01.23. 06:19,30,"[-1.97266665e-04 -7.49013096e-04 -2.21257164e-06  7.01006385e-04
  4.38825955e-04 -1.38178177e-03  8.23348120e-04  5.31674409e-03
 -1.36106671e-03  2.69256107e-05 -2.64121220e-03 -2.98843160e-03
 -1.59054517e-03  2.40604719e-03 -2.37710448e-03 -1.18072878e-03
  7.79162438e-05 -9.47908440e-04  1.80604329e-04 -2.89216149e-03
 -2.58311024e-03 -3.03271296e-03  1.55245000e-03 -2.89334595e-04
 -5.19486086e-04  6.27261528e-04 -1.42714358e-03 -7.62093521e-04
 -2.94460007e-03  3.70992837e-03  9.54072981e-04 -3.60225281e-03
  1.58321415e-03 -3.09437863e-03 -1.20181765e-03  2.26621586e-03
  2.14231957e-04  9.41233127e-04  1.09223183e-04 -2.04623770e-03
 -1.77314214e-03 -2.18910770e-03 -1.87000202e-03  1.90816319e-03
  1.13018951e-03  2.13511428e-03 -1.73758739e-03 -1.32406480e-03
  9.38069890e-04  7.19469157e-04 -1.94023794e-03  1.39151016e-04
  2.12564846e-04  1.06362556e-03 -1.23170193e-03  1.57228881e-03
 -6.60112652e-04 -3.96765908e-03 -1.80951215e-03 -2.50594836e-04
  7.57896050e-04  3.91681242e-04  1.03978708e-03  2.67049581e-05
 -5.22820745e-04  2.34236941e-05  2.34346581e-03  3.99178173e-03
 -6.21903804e-04  1.58422114e-03  1.43270683e-03  1.80257601e-03
  1.76652207e-03 -7.39280484e-04  1.20048877e-03  2.70323572e-03
 -3.17787490e-04  3.62877530e-04  1.55367525e-05  4.55039903e-04
 -4.47828119e-04 -2.42375582e-03  1.00840756e-03 -9.08066926e-04
 -2.86401645e-03 -2.29688990e-03 -3.93212913e-03  2.00137543e-03
 -1.55734859e-04 -2.15436914e-03  2.02221633e-03  2.02472112e-03
  2.09863135e-03 -2.31204135e-03  2.05861288e-03  2.39340356e-03
  1.15004514e-04 -3.80305923e-04  2.67597800e-03 -5.44291455e-04]"
