,review,rating,date
0,별로에요 재미없어요,1,방금
1,액션과 코믹이 가미되어 편안히 볼 수 있고 가족부분에서 가슴 뭉클한 영화,9,3 분전
2,전편이 더 재밌었던듯!,7,3 분전
3,재미있게 잘 봤습니다 감사합니다,10,4 분전
4,웃음 포인트 가득한 히트맨 2,8,5 분전
5,2000년 초반 영화스타일,5,8 분전
6,히트맨2  재밌었습니다,6,9 분전
7,영상과 배우들의 연기가 다한? 싸움신은 지루했음,8,9 분전
8,재미있게 잘봤습니다 웃음포인트가 있네요~ ,8,11 분전
9,너무 재밌었어요 ㅋㅋㅋ,10,13 분전
10,킬링타임용으로 적당,6,15 분전
11,그냥 보기엔 나쁘지 않음.. 중간중간 노잼 유머들..,7,15 분전
12,히트맨1이 너무 재밌어서 기대가 컸나봐요 2는 억지로 웃기려는 느낌? 내용도 뻔하고 그냥 그랬어요 ㅠ,7,23 분전
13,애니메이션 현실 왔다갔다 연출 재밌었다. 그런데 코미디 자체는...그냥 그랬다. 사실 코메디 영화에 스토리 따지는것만큼 의미없는게 없다. 배우들 열연에 박수,7,37 분전
14,1보다 못한 2..,6,37 분전
15,"배우들의연기가인상적이며스토리가잘짜여있꾜
연출이잘됐습니다다시봐도명작입니다",8,41 분전
16,영상미랑연출이좋아요,10,41 분전
17,애니메이션과 혼재되는 장면이 있는데 그래서인지 더 몰입감 있게 잘 본 영화였었다.,10,48 분전
18,킬링타임용으로 볼만합니다,8,52 분전
19,방향성과 주제를 잊은 속편은 관람 내내 웃음보다 한숨만 나온다,4,56 분전
20,방향성과 주제를 잊은 속편은 관람 내내 웃음보다 한숨만 나온다,4,57 분전
21,방향성과 주제를 잊은 속편은 관람 내내 웃음보다 한숨만 나온다,4,58 분전
22,가볍게 볼만합니다 애니메이션이 좋았음,5,58 분전
23,방향성과 주제를 잊은 속편은 관람 내내 웃음보다 한숨만 나온다,4,1 시간전
24,그냥저냥 가볍게 보기 좋음,6,1 시간전
25,방향성과 주제를 잊은 속편은 관람 내내 웃음보다 한숨만 나온다,4,1 시간전
26,스토리가 탄탄하고 에니매이션과 혼합되어서 잼나요,10,1 시간전
27,잼있게 잘 봤습니다,7,1 시간전
