영화 제목,review,rating,date
히트맨2,평점 알바들 대단하십니다,2,2025.01.22. 19:52
히트맨2,1편보다 많이 재미없고 유치함. 유머도 전혀 웃기지 않고 액션은 마지막 장면이 전부인데 그것도 많이 약함. 1편을 재밌게 본 아쉬움에 5점 줬다가 평점 알바가 많은 것 같아 3점으로 낮춤,3,2025.01.22. 14:44
히트맨2,이이경이랑 김성오 레전드.,10,2025.01.22. 11:28
히트맨2,이 영화를 재밌다고 하시는 분들 저는 이해가 잘 ㅜㅜ 제가 이상한가봐요. 전 한번도 못 웃음. 코미디 영화 맞아요?,5,2025.01.22. 15:29
히트맨2,영화보면서 한 번도 안 웃은 적 처음이예요…,1,2025.01.22. 21:17
히트맨2,"모든 걸 내려놓고 그냥 나사 빠진 듯 보고 나오면 됩니다. 영화 속 웹툰, <암살요원 준 시즌2> 1화를 본 독자의 심정을 여실히 느끼게 해 줍니다.",4,2025.01.22. 18:32
히트맨2,생각보다 별로였습니다..,1,2025.01.22. 19:02
히트맨2,만들지 말아야 할것이 또 나왔다,1,2025.01.22. 21:51
히트맨2,너무 재미있게 봤습니다 ㅋㅋㅋ 1보다 더 재밌어요! 설연휴에 부모님 모시고 또 보러 가려고요 가족영화로는 히트맨이 제격입니다! 단체관람 아주 추천합니다 요즘 같은 시국에 꼭 필요한 영화같아요 머리 비우고 크게 웃고나니 분위기도 훈훈하고 기분 좋았습니다,10,2025.01.22. 10:54
히트맨2,권상우의 코믹연기는 진짜 봐도봐도 질리지 않음정준호랑 이이경까지 라인업 튼튼하니 명절에 가족들이랑 보기 좋음,10,2025.01.22. 10:53
히트맨2,어수선한 시국에 잠시라도 시원하게 웃게해주는 영화였읍니다. 3탄이 너무기대됩니다.,10,2025.01.22. 11:37
히트맨2,정도껏 유치해야지 바보들의 행진,4,2025.01.22. 17:34
히트맨2,개웃김 ㅠㅠ 소재 자체가 신선해서 ㄹㅇ 질리지가 않는다 설날에 가족이랑 다시 볼거임 ㅠㅜ 일부러 개봉하자마자 봤는데 아침부터 웃어서 기분 좋음 ㅎㅎ 이 조합 추천이요!!,10,2025.01.22. 11:04
